target_names,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
m,38.57142857142857,23.571428571428573,14.285714285714286,23.571428571428573,13
m,25.827814569536425,24.50331125827815,23.841059602649008,25.827814569536425,13
m,31.25,20.673076923076923,26.442307692307693,21.634615384615387,13
m,43.262411347517734,15.602836879432624,26.24113475177305,14.893617021276595,13
m,55.28455284552845,8.130081300813007,21.95121951219512,14.634146341463413,13
m,25.0,25.0,25.0,25.0,13
m,31.976744186046513,22.674418604651166,22.674418604651166,22.674418604651166,13
m,37.9746835443038,22.78481012658228,20.253164556962027,18.9873417721519,13
m,25.86206896551724,25.86206896551724,24.137931034482758,24.137931034482758,13
m,31.81818181818182,15.90909090909091,23.863636363636367,28.40909090909091,13
m,60.0,11.428571428571429,14.285714285714286,14.285714285714286,13
m,44.23076923076923,15.384615384615385,20.192307692307693,20.192307692307693,13
m,36.89320388349515,27.184466019417478,17.475728155339805,18.446601941747574,13
m,37.5,29.166666666666668,14.583333333333334,18.75,13
m,38.34586466165413,27.819548872180448,15.037593984962406,18.796992481203006,13
m,35.77981651376147,29.357798165137616,19.26605504587156,15.59633027522936,13
m,45.614035087719294,23.684210526315788,15.789473684210526,14.912280701754385,13
m,38.216560509554135,29.29936305732484,18.471337579617835,14.012738853503183,13
m,35.53719008264463,22.31404958677686,22.31404958677686,19.834710743801654,13
m,26.81159420289855,24.63768115942029,25.36231884057971,23.18840579710145,13
m,48.64864864864865,15.315315315315315,25.225225225225227,10.81081081081081,13
m,44.54545454545455,17.272727272727273,24.545454545454543,13.636363636363637,13
m,33.97435897435898,30.12820512820513,18.58974358974359,17.30769230769231,13
m,13.23529411764706,13.23529411764706,36.76470588235294,36.76470588235294,13
m,26.5625,25.0,25.0,23.4375,13
m,39.583333333333336,39.583333333333336,10.416666666666668,10.416666666666668,13
m,26.720647773279353,21.45748987854251,25.910931174089068,25.910931174089068,13
m,38.0,21.0,26.0,15.0,13
m,33.07086614173229,32.28346456692913,17.322834645669293,17.322834645669293,13
m,39.0625,17.96875,17.96875,25.0,13
m,37.234042553191486,35.1063829787234,13.829787234042552,13.829787234042552,13
m,32.407407407407405,31.48148148148148,18.51851851851852,17.59259259259259,13
m,38.96103896103896,23.376623376623378,14.285714285714285,23.376623376623378,13
m,32.911392405063296,31.645569620253166,18.354430379746837,17.08860759493671,13
m,44.339622641509436,20.754716981132077,19.81132075471698,15.09433962264151,13
m,31.18811881188119,28.712871287128714,21.287128712871286,18.81188118811881,13
m,35.632183908045974,27.586206896551722,17.816091954022987,18.96551724137931,13
m,36.690647482014384,29.49640287769784,17.985611510791365,15.827338129496402,13
m,33.08270676691729,24.81203007518797,18.796992481203006,23.308270676691727,13
m,31.42857142857143,22.857142857142858,25.714285714285715,20.0,13
m,30.555555555555554,27.083333333333332,22.22222222222222,20.13888888888889,13
m,25.0,25.0,25.0,25.0,13
m,48.22695035460993,19.858156028368796,20.56737588652482,11.347517730496454,13
m,30.58823529411765,28.235294117647058,21.176470588235293,20.0,13
m,37.878787878787875,37.878787878787875,12.121212121212121,12.121212121212121,13
m,31.884057971014492,26.81159420289855,21.73913043478261,19.565217391304348,13
m,29.80132450331126,25.165562913907287,24.50331125827815,20.529801324503314,13
m,34.54545454545455,31.818181818181817,18.18181818181818,15.454545454545453,13
m,30.08849557522124,28.31858407079646,18.58407079646018,23.008849557522126,13
m,31.034482758620687,22.988505747126435,24.137931034482758,21.839080459770113,13
m,27.44360902255639,26.31578947368421,23.308270676691727,22.932330827067666,13
m,43.03030303030303,23.636363636363637,20.0,13.333333333333334,13
m,33.333333333333336,27.536231884057973,21.73913043478261,17.391304347826086,13
m,38.23529411764706,29.411764705882355,17.647058823529413,14.705882352941178,13
m,35.38461538461538,25.64102564102564,20.51282051282051,18.46153846153846,13
m,35.41666666666667,25.0,17.708333333333336,21.875,13
m,43.20987654320987,13.580246913580247,11.11111111111111,32.098765432098766,13
m,31.067961165048544,26.21359223300971,23.300970873786408,19.41747572815534,13
m,40.50632911392405,25.31645569620253,20.253164556962027,13.924050632911394,13
m,39.34426229508197,33.60655737704918,13.934426229508198,13.114754098360656,13
m,38.23529411764706,36.76470588235294,13.23529411764706,11.764705882352942,13
m,29.166666666666668,27.083333333333336,22.916666666666668,20.833333333333336,13
m,29.86111111111111,24.305555555555554,25.0,20.833333333333332,13
m,28.57142857142857,28.57142857142857,21.428571428571427,21.428571428571427,13
m,29.310344827586206,26.72413793103448,22.413793103448274,21.551724137931032,13
m,39.04109589041096,30.136986301369863,19.17808219178082,11.643835616438356,13
m,33.5195530726257,29.050279329608937,18.435754189944134,18.994413407821227,13
m,32.926829268292686,19.51219512195122,24.390243902439025,23.170731707317074,13
m,31.868131868131872,30.769230769230774,18.681318681318682,18.681318681318682,13
m,25.0,25.0,25.0,25.0,13
m,33.33333333333333,20.0,29.333333333333332,17.333333333333332,13
m,33.333333333333336,33.333333333333336,16.666666666666668,16.666666666666668,13
m,30.952380952380953,29.166666666666668,20.238095238095237,19.642857142857142,13
m,38.095238095238095,27.619047619047617,17.142857142857142,17.142857142857142,13
m,23.076923076923077,23.076923076923077,26.923076923076923,26.923076923076923,13
m,40.666666666666664,18.0,22.0,19.333333333333332,13
m,31.666666666666668,30.0,20.0,18.333333333333336,13
m,48.484848484848484,27.272727272727273,10.101010101010102,14.141414141414142,13
m,52.577319587628864,8.24742268041237,24.74226804123711,14.432989690721648,13
m,36.55913978494623,20.43010752688172,23.655913978494624,19.354838709677416,13
m,31.884057971014492,29.71014492753623,20.28985507246377,18.115942028985508,13
m,39.50617283950617,24.691358024691358,20.37037037037037,15.432098765432098,13
m,27.659574468085104,25.53191489361702,25.53191489361702,21.27659574468085,13
m,24.096385542168676,20.481927710843376,25.30120481927711,30.120481927710845,13
m,27.45098039215686,23.52941176470588,27.45098039215686,21.56862745098039,13
m,30.92783505154639,18.556701030927833,24.74226804123711,25.773195876288657,13
m,27.083333333333336,27.083333333333336,22.916666666666668,22.916666666666668,13
m,41.66666666666667,41.66666666666667,8.333333333333334,8.333333333333334,13
m,46.96969696969697,14.393939393939394,19.696969696969695,18.939393939393938,13
m,31.12582781456954,27.152317880794705,21.85430463576159,19.867549668874172,13
m,40.0,27.407407407407405,13.333333333333332,19.25925925925926,13
m,35.08771929824561,25.43859649122807,14.035087719298245,25.43859649122807,13
m,34.69387755102041,31.29251700680272,18.36734693877551,15.64625850340136,13
m,36.36363636363637,27.272727272727273,20.202020202020204,16.161616161616163,13
m,37.89473684210526,36.84210526315789,12.631578947368421,12.631578947368421,13
m,16.666666666666668,10.0,31.666666666666668,41.66666666666667,13
m,37.5,32.5,17.5,12.5,13
m,29.032258064516128,24.193548387096772,24.193548387096772,22.58064516129032,13
m,42.5,22.5,22.5,12.5,13
m,53.03030303030303,13.636363636363637,13.636363636363637,19.696969696969695,13
m,27.142857142857142,25.714285714285715,24.285714285714285,22.857142857142858,13
m,30.113636363636367,25.56818181818182,23.295454545454547,21.022727272727273,13
m,41.74757281553398,33.980582524271846,11.650485436893204,12.62135922330097,13
m,33.87096774193548,25.806451612903224,21.774193548387096,18.548387096774192,13
m,29.1044776119403,26.865671641791046,22.388059701492537,21.64179104477612,13
m,32.29813664596273,26.08695652173913,21.11801242236025,20.496894409937887,13
m,37.5,25.892857142857146,18.75,17.857142857142858,13
m,29.20353982300885,26.548672566371682,23.008849557522126,21.238938053097346,13
m,32.467532467532465,26.623376623376622,20.12987012987013,20.77922077922078,13
m,30.70175438596491,28.07017543859649,21.052631578947366,20.175438596491226,13
m,36.97478991596639,24.369747899159663,21.84873949579832,16.80672268907563,13
m,34.61538461538461,34.61538461538461,15.384615384615385,15.384615384615385,13
m,32.06106870229008,30.53435114503817,19.083969465648856,18.320610687022903,13
m,32.098765432098766,27.160493827160494,22.22222222222222,18.51851851851852,13
m,31.40495867768595,28.09917355371901,19.834710743801654,20.66115702479339,13
m,28.0,28.0,22.0,22.0,13
m,41.57303370786517,16.853932584269664,16.853932584269664,24.719101123595507,13
m,34.09090909090909,22.72727272727273,23.863636363636367,19.31818181818182,13
m,20.0,20.0,30.0,30.0,13
m,29.032258064516128,19.354838709677416,31.18279569892473,20.43010752688172,13
m,26.11940298507463,24.62686567164179,25.373134328358212,23.880597014925375,13
m,29.281767955801108,26.51933701657459,23.204419889502763,20.994475138121548,13
m,46.715328467153284,29.197080291970803,13.86861313868613,10.21897810218978,13
m,32.33082706766917,28.57142857142857,20.30075187969925,18.796992481203006,13
m,31.372549019607842,25.49019607843137,23.52941176470588,19.6078431372549,13
m,49.01960784313725,18.627450980392155,13.72549019607843,18.627450980392155,13
m,35.33333333333333,22.666666666666664,24.666666666666664,17.333333333333332,13
m,33.057851239669425,20.66115702479339,24.793388429752067,21.487603305785125,13
m,45.945945945945944,22.972972972972972,14.864864864864865,16.216216216216218,13
m,34.61538461538461,34.61538461538461,15.384615384615385,15.384615384615385,13
m,36.36363636363637,36.36363636363637,13.636363636363637,13.636363636363637,13
m,32.28346456692913,27.559055118110237,22.04724409448819,18.11023622047244,13
m,39.23076923076923,30.0,16.153846153846153,14.615384615384617,13
m,33.333333333333336,29.62962962962963,18.51851851851852,18.51851851851852,13
m,46.902654867256636,18.58407079646018,20.353982300884958,14.15929203539823,13
m,33.78378378378378,25.675675675675674,22.972972972972972,17.56756756756757,13
m,47.11538461538461,7.6923076923076925,20.192307692307693,25.0,13
m,25.0,25.0,25.0,25.0,13
m,28.865979381443296,23.711340206185564,23.711340206185564,23.711340206185564,13
m,42.857142857142854,28.57142857142857,14.285714285714285,14.285714285714285,13
m,41.566265060240966,31.32530120481928,15.66265060240964,11.44578313253012,13
m,36.627906976744185,23.255813953488374,20.348837209302328,19.767441860465116,13
m,27.397260273972602,20.54794520547945,28.767123287671232,23.28767123287671,13
m,29.032258064516128,29.032258064516128,20.96774193548387,20.96774193548387,13
m,21.1864406779661,14.406779661016948,32.20338983050847,32.20338983050847,13
m,35.59322033898305,24.576271186440678,20.338983050847457,19.491525423728813,13
m,29.41176470588235,24.509803921568626,25.49019607843137,20.588235294117645,13
m,27.272727272727273,21.21212121212121,28.78787878787879,22.727272727272727,13
m,35.714285714285715,31.818181818181817,16.883116883116884,15.584415584415584,13
m,35.714285714285715,28.571428571428573,21.42857142857143,14.285714285714286,13
m,30.4635761589404,27.814569536423843,21.85430463576159,19.867549668874172,13
m,52.63157894736842,7.017543859649122,15.789473684210526,24.561403508771928,13
m,44.82758620689655,12.93103448275862,29.310344827586206,12.93103448275862,13
m,50.549450549450555,10.989010989010989,20.87912087912088,17.582417582417584,13
m,30.53892215568862,28.143712574850298,21.556886227544908,19.760479041916167,13
m,30.120481927710845,24.096385542168676,24.096385542168676,21.68674698795181,13
m,38.18181818181818,34.54545454545455,14.545454545454545,12.727272727272727,13
m,30.92783505154639,25.773195876288657,22.680412371134018,20.618556701030926,13
m,67.74193548387096,12.903225806451612,6.451612903225806,12.903225806451612,13
m,32.638888888888886,27.77777777777778,20.833333333333332,18.75,13
m,32.63157894736842,24.210526315789473,25.263157894736842,17.894736842105264,13
m,27.77777777777778,27.77777777777778,22.22222222222222,22.22222222222222,13
m,27.586206896551722,25.86206896551724,24.137931034482758,22.413793103448274,13
m,31.81818181818182,31.81818181818182,18.181818181818183,18.181818181818183,13
m,37.414965986394556,24.489795918367346,23.12925170068027,14.965986394557822,13
m,57.28155339805825,7.766990291262136,14.563106796116505,20.388349514563107,13
m,38.04347826086956,18.478260869565215,25.0,18.478260869565215,13
m,34.17721518987342,29.113924050632914,17.721518987341774,18.9873417721519,13
m,34.4,22.400000000000002,25.6,17.6,13
m,33.57664233576642,29.927007299270073,18.978102189781023,17.51824817518248,13
m,48.80952380952381,14.285714285714285,11.904761904761905,25.0,13
m,25.0,25.0,25.0,25.0,13
m,34.146341463414636,30.48780487804878,19.51219512195122,15.853658536585366,13
m,37.2093023255814,22.093023255813954,24.41860465116279,16.27906976744186,13
m,45.19230769230769,15.384615384615385,16.346153846153847,23.076923076923077,13
m,30.0,30.0,20.0,20.0,13
m,39.682539682539684,19.047619047619047,25.396825396825395,15.873015873015872,13
m,43.54838709677419,43.54838709677419,6.451612903225806,6.451612903225806,13
m,38.46153846153846,15.384615384615385,23.076923076923077,23.076923076923077,13
m,31.132075471698112,26.41509433962264,21.69811320754717,20.754716981132077,13
m,38.21138211382114,23.577235772357724,21.13821138211382,17.073170731707318,13
m,52.85714285714286,13.571428571428571,15.714285714285715,17.857142857142858,13
m,57.29166666666667,4.166666666666667,21.875,16.666666666666668,13
m,29.213483146067418,24.719101123595507,24.15730337078652,21.910112359550563,13
m,36.22047244094488,33.85826771653544,14.960629921259843,14.960629921259843,13
m,35.8974358974359,26.923076923076927,23.07692307692308,14.102564102564104,13
m,33.9622641509434,29.245283018867926,19.81132075471698,16.9811320754717,13
m,43.884892086330936,23.741007194244602,18.70503597122302,13.66906474820144,13
m,33.33333333333333,27.777777777777775,19.1358024691358,19.753086419753085,13
m,36.734693877551024,28.571428571428573,16.3265306122449,18.367346938775512,13
m,28.07017543859649,26.31578947368421,22.807017543859647,22.807017543859647,13
m,32.911392405063296,25.31645569620253,21.518987341772153,20.253164556962027,13
m,28.75,22.5,30.0,18.75,13
m,22.429906542056074,20.093457943925234,28.97196261682243,28.50467289719626,13
m,30.120481927710845,16.867469879518072,30.120481927710845,22.89156626506024,13
m,36.86440677966102,19.491525423728813,24.152542372881356,19.491525423728813,13
m,25.373134328358212,20.895522388059703,26.865671641791046,26.865671641791046,13
